technology,manufacturer,sku,total_size,start_up_time_us,manufacturer_id,memory_type,capacity,max_clock_speed_mhz,quad_enable_bit_mask,has_sector_protection,supports_fast_read,supports_qspi,supports_qspi_writes,write_status_register_split,single_status_byte,no_ready_bit,no_erase_cmd,no_reset_cmd
flash,,,,,,,,,,,True,,,,,,,
flash,adesto-tech,,,10000,31,,,85,0,,,False,False,False,False,,,
flash,adesto-tech,AT25DF081A,1048576,,,69,1,,,True,,,,,,,,
flash,adesto-tech,AT25DF641A,8388608,,,72,0,,,True,,,,,,,,
flash,adesto-tech,AT25SF041A,524288,,,132,1,,,False,,,,,,,,
flash,adesto-tech,AT25SF161,2097152,,,134,1,,,True,,,,,,,,
flash,cypress,,,,1,,,,2,False,,,,False,False,,,
flash,cypress,S25FL064L,8388608,300,,96,23,108,,,,True,True,,,,,
flash,cypress,S25FL116K,2097152,10000,,64,21,108,,,,True,False,,,,,
flash,cypress,S25FL216K,2097152,10000,,64,21,65,,,,False,False,,,,,
flash,gigadevice,,,5000,200,64,,104,2,False,,True,True,,False,,,
flash,gigadevice,GD25Q16C,2097152,,,,21,,,,,,,False,,,,
flash,gigadevice,GD25Q32C,4194304,,,,22,,,,,,,True,,,,
flash,gigadevice,GD25Q64C,8388608,,,,23,,,,,,,True,,,,
flash,gigadevice,GD25S512MD,67108864,,,,25,,,,,,,True,,,,
flash,issi,,,10000,157,96,,133,2,True,,True,True,False,True,,,
flash,issi,IS25LP128F,16777216,,,,24,,,,,,,,,,,
flash,macronix,,,,,,,,,,,True,True,False,True,,,
flash,macronix,MX25L12833F,16777216,5000,194,32,24,133,64,True,,,,,,,,
flash,macronix,MX25L1606,2097152,5000,194,32,21,8,64,False,,,,,,,,
flash,macronix,MX25L25645G,33554432,5000,159,171,144,133,,False,,,,,,,,
flash,macronix,MX25L3233F,4194304,5000,194,32,22,133,64,False,,,,,,,,
flash,macronix,MX25L51245G,67108864,5000,194,32,26,133,64,False,,,,,,,,
flash,macronix,MX25R1635F,2097152,800,194,40,21,33,128,False,,,,,,,,
flash,macronix,MX25R6435F,8388608,5000,194,40,23,8,64,False,,,,,,,,
flash,micron,,,10000,32,186,,108,2,False,,True,True,False,True,,,
flash,micron,N25Q256A,16777216,,,,25,,,,,,,,,,,
flash,winbond,,,,239,,,,,False,,,,False,,,,
flash,winbond,W25Q128JV_PM,16777216,5000,,112,24,133,2,,,True,True,,,,,
flash,winbond,W25Q128JV_SQ,16777216,5000,,64,24,133,2,,,True,True,,False,,,
flash,winbond,W25Q16FW,2097152,5000,,96,21,133,2,,,True,True,,False,,,
flash,winbond,W25Q16JV_IM,2097152,5000,,112,21,133,2,,,True,True,,,,,
flash,winbond,W25Q16JV_IQ,2097152,5000,,64,21,133,2,,,True,True,,False,,,
flash,winbond,W25Q32BV,4194304,10000,,96,22,104,2,,,True,False,,False,,,
flash,winbond,W25Q32FV,4194304,5000,,64,22,104,0,,,False,False,,False,,,
flash,winbond,W25Q32JV_IM,4194304,5000,,112,22,133,2,,,True,True,,,,,
flash,winbond,W25Q32JV_IQ,4194304,5000,,64,22,133,2,,,True,True,,,,,
flash,winbond,W25Q64FV,8388608,5000,,64,23,104,2,,,True,True,,False,,,
flash,winbond,W25Q64JV_IM,8388608,5000,,112,23,133,2,,,True,True,,False,,,
flash,winbond,W25Q64JV_IQ,8388608,5000,,64,23,133,2,,,True,True,,False,,,
flash,winbond,W25Q80DL,1048576,5000,,96,20,104,2,,,True,False,,False,,,
flash,winbond,W25Q80DV,1048576,5000,,64,20,104,2,,,True,False,,False,,,
mram,,,,,,,,,,,,,,,,True,True,True
mram,everspin,,,10000,239,64,20,10,0,False,False,False,False,False,True,,,
mram,everspin,MR2xH40,4194304,,,,,,,,,,,,,,,
